# Experiment: figure_02_eve_position_map
# Rows are ordered by y first and x second; mesh cols = 11.
# Coordinates and distances are normalized by wavelength.
# One diffuse channel realization is fixed over the full map.
# Position dependence enters through LOS direction and path loss.
grid_row grid_col eve_x_lambda eve_y_lambda eve_z_lambda eve_distance_lambda eve_azimuth_deg eve_elevation_deg vulnerability_qpsk min_entropy_leakage_qpsk vulnerability_16qam min_entropy_leakage_16qam
7 1 -16 33 0 36.67424164 115.8663568 0 0.7603419786 1.60472035 0.3118565843 2.318954624
7 2 -12 33 0 35.11409973 109.9831065 0 0.8499261096 1.765409328 0.366895957 2.553442912
7 3 -8 33 0 33.95585369 103.6269949 0 0.8887998387 1.82993046 0.4069406356 2.702890255
7 4 -4 33 0 33.24154028 96.91122712 0 0.848659095 1.763257047 0.368534534 2.55987172
7 5 0 33 0 33 90 0 0.7150365143 1.516088822 0.2972752119 2.249871075
7 6 4 33 0 33.24154028 83.08877288 0 0.5774284662 1.207714137 0.235943196 1.916511473
7 7 8 33 0 33.95585369 76.37300514 0 0.4761403687 0.9294588556 0.1935053282 1.630445197
7 8 12 33 0 35.11409973 70.01689348 0 0.409216759 0.7109371354 0.1661847659 1.410860042
7 9 16 33 0 36.67424164 64.13364321 0 0.3658343399 0.5492624086 0.148389389 1.247459836
7 10 20 33 0 38.58756276 58.78159724 0 0.3360805387 0.4268789085 0.1359343219 1.120981672
8 0 -20 37 0 42.05948169 118.3930194 0 0.6840964279 1.452271602 0.266633561 2.092930288
8 1 -16 37 0 40.31128874 113.3852211 0 0.7678105644 1.618822316 0.3030230373 2.277499384
8 2 -12 37 0 38.89730068 107.9691397 0 0.8314649645 1.733727379 0.3484627652 2.479076411
8 3 -8 37 0 37.85498646 102.2004687 0 0.8494722032 1.764638645 0.3633024336 2.539242935
8 4 -4 37 0 37.21558813 96.1701751 0 0.8020201386 1.681710368 0.3264539877 2.38495157
8 5 0 37 0 37 90 0 0.6895237213 1.46367209 0.2711296988 2.117055056
8 6 4 37 0 37.21558813 83.8298249 0 0.5731487235 1.19698145 0.2221914723 1.829875352
8 7 8 37 0 37.85498646 77.79953127 0 0.4827775695 0.9494305532 0.1861436006 1.574487924
8 8 12 37 0 38.89730068 72.03086026 0 0.4180303557 0.7416796139 0.1614787862 1.369416553
8 9 16 37 0 40.31128874 66.61477894 0 0.3740731484 0.5813923157 0.1446436359 1.210574754
8 10 20 37 0 42.05948169 61.60698058 0 0.3431670172 0.4569828028 0.1327382519 1.086656085
9 0 -20 41 0 45.61797891 116.0033458 0 0.6950030411 1.475091196 0.2591916641 2.052091225
9 1 -16 41 0 44.01136217 111.3179123 0 0.7616111041 1.607126418 0.29437293 2.235716915
9 2 -12 41 0 42.72001873 106.3138524 0 0.8049434687 1.686959371 0.3258234107 2.382162172
9 3 -8 41 0 41.77319715 101.0409402 0 0.8082145281 1.69281019 0.3265831256 2.385522155
9 4 -4 41 0 41.19465985 95.5721978 0 0.7593868076 1.602906841 0.2938153146 2.232981501
9 5 0 41 0 41 90 0 0.6650937369 1.41162959 0.2494293679 1.996703244
9 6 4 41 0 41.19465985 84.4278022 0 0.566171194 1.179310254 0.2098016745 1.747098097
9 7 8 41 0 41.77319715 78.95905982 0 0.4857241666 0.9582091728 0.1792209999 1.519811598
9 8 12 41 0 42.72001873 73.68614757 0 0.4248221905 0.7649310319 0.1568567535 1.327519551
9 9 16 41 0 44.01136217 68.68208772 0 0.3813194862 0.6090721626 0.1411893515 1.175703189
9 10 20 41 0 45.61797891 63.99665416 0 0.3498999455 0.4850143451 0.1298489033 1.054905735
10 0 -20 45 0 49.24428901 113.962489 0 0.6958156225 1.476776976 0.2538401601 2.021992242
10 1 -16 45 0 47.75981575 109.5731258 0 0.7466467292 1.578497708 0.2829097277 2.178413689
10 2 -12 45 0 46.57252409 104.9314172 0 0.7745216044 1.631377387 0.302447241 2.274755405
10 3 -8 45 0 45.70557953 100.080598 0 0.768064848 1.619300028 0.295959586 2.243472091
10 4 -4 45 0 45.17742799 95.07960786 0 0.7211328633 1.528336995 0.2680398735 2.100519536
10 5 0 45 0 45 90 0 0.6417679147 1.360123569 0.2317187482 1.890446681
10 6 4 45 0 45.17742799 84.92039214 0 0.557322668 1.156584738 0.1988132465 1.669485789
10 7 8 45 0 45.70557953 79.91940201 0 0.4859538884 0.9588913297 0.1728713786 1.467770935
10 8 12 45 0 46.57252409 75.06858282 0 0.4295357441 0.7808500963 0.1527068428 1.288836616
10 9 16 45 0 47.75981575 70.42687417 0 0.3872128943 0.6311989006 0.1379300502 1.14200871
10 10 20 45 0 49.24428901 66.03751103 0 0.35576573 0.5089994511 0.1271406536 1.024497315
