# Experiment: figure_02_eve_position_map
# Rows are ordered by y first and x second; mesh cols = 41.
# Coordinates and distances are normalized by wavelength.
# One diffuse channel realization is fixed over the full map.
# Position dependence enters through LOS direction and path loss.
grid_row grid_col eve_x_lambda eve_y_lambda eve_z_lambda eve_distance_lambda eve_azimuth_deg eve_elevation_deg vulnerability_qpsk min_entropy_leakage_qpsk vulnerability_16qam min_entropy_leakage_16qam
1 25 5 6 0 7.810249676 50.19442891 0 0.7096153533 1.505109129 0.4997778472 2.99935886
1 26 6 6 0 8.485281374 45 0 0.7050038136 1.495702967 0.5043786776 3.012579193
1 27 7 6 0 9.219544457 40.60129465 0 0.6764790163 1.436117089 0.451504145 2.852811138
1 28 8 6 0 10 36.86989765 0 0.6874693984 1.459367401 0.4379212266 2.808743286
1 29 9 6 0 10.81665383 33.69006753 0 0.6861010343 1.456492946 0.4311122284 2.78613539
1 30 10 6 0 11.66190379 30.96375653 0 0.6753167857 1.433636323 0.4141204074 2.728122204
1 31 11 6 0 12.52996409 28.61045967 0 0.6559132624 1.391576951 0.396783539 2.66642408
1 32 12 6 0 13.41640786 26.56505118 0 0.6261180726 1.32450665 0.3755059935 2.58690784
1 33 13 6 0 14.31782106 24.77514057 0 0.5906606651 1.240401444 0.3509182143 2.489206737
1 34 14 6 0 15.23154621 23.19859051 0 0.5563840942 1.154153082 0.3265723181 2.385474411
1 35 15 6 0 16.15549442 21.80140949 0 0.5260378333 1.073238469 0.305002251 2.286891795
1 36 16 6 0 17.08800749 20.55604522 0 0.501919322 1.005527391 0.2868964772 2.198602159
1 37 17 6 0 18.02775638 19.44003483 0 0.4848082229 0.9554860738 0.2733478684 2.12881003
1 38 18 6 0 18.97366596 18.43494882 0 0.4704883026 0.9122307597 0.2631476929 2.073944651
1 39 19 6 0 19.92485885 17.52556837 0 0.4584243567 0.8747556035 0.2550007873 2.028573607
1 40 20 6 0 20.88061302 16.69924423 0 0.4478728201 0.8411610215 0.2473419301 1.984578735
2 0 -20 7 0 21.1896201 160.7099538 0 0.5175660244 1.04981482 0.2766813645 2.146297381
2 1 -19 7 0 20.24845673 159.7751406 0 0.5300699387 1.08425463 0.2869595674 2.198919381
2 2 -18 7 0 19.31320792 158.7494945 0 0.5437859466 1.121110772 0.2982541566 2.254614149
2 3 -17 7 0 18.38477631 157.6198649 0 0.5586746827 1.160080349 0.3111865547 2.315851633
2 4 -16 7 0 17.4642492 156.3706223 0 0.5752047806 1.202147571 0.3254815924 2.380647859
2 5 -15 7 0 16.55294536 154.9831065 0 0.5927796612 1.245567853 0.3411295634 2.448391694
2 6 -14 7 0 15.65247584 153.4349488 0 0.6114285477 1.290255819 0.3588605574 2.521495269
2 7 -13 7 0 14.76482306 151.6992442 0 0.6310612675 1.335851983 0.3782987903 2.597598068
2 8 -12 7 0 13.89244399 149.7435628 0 0.651893852 1.382708974 0.4001948969 2.678774676
2 9 -11 7 0 13.03840481 147.5288077 0 0.6791150693 1.441727951 0.4270873993 2.772603239
2 10 -10 7 0 12.20655562 145.0079798 0 0.7205055766 1.527081502 0.4631582181 2.889577018
2 11 -9 7 0 11.40175425 142.1250163 0 0.770708379 1.624256981 0.502442069 3.00702917
2 12 -8 7 0 10.63014581 138.8140748 0 0.8299718532 1.731134316 0.5475874862 3.131161383
2 13 -7 7 0 9.899494937 135 0 0.8692939748 1.79791605 0.6022427609 3.268417052
2 14 -6 7 0 9.219544457 130.6012946 0 0.8729285833 1.803935533 0.6386109457 3.353009186
2 15 -5 7 0 8.602325267 125.5376778 0 0.8540044668 1.772315521 0.671543215 3.425552148
2 16 -4 7 0 8.062257748 119.7448813 0 0.9567479485 1.936210807 0.7680909667 3.619349088
2 17 -3 7 0 7.615773106 113.1985905 0 0.9999015513 1.999857962 0.8419347113 3.751780267
2 18 -2 7 0 7.280109889 105.9453959 0 0.9999999934 1.999999991 0.9251738142 3.887796338
2 19 -1 7 0 7.071067812 98.13010235 0 0.9999988945 1.999998405 0.8963148698 3.842077536
2 20 0 7 0 7 90 0 0.8856112118 1.824745392 0.7330776681 3.552037962
2 21 1 7 0 7.071067812 81.86989765 0 0.7192728329 1.524611019 0.5681345282 3.18430449
2 22 2 7 0 7.280109889 74.0546041 0 0.7051507911 1.496003705 0.5304647197 3.085328708
2 23 3 7 0 7.615773106 66.80140949 0 0.6700277163 1.42229268 0.4828748385 2.949721195
2 24 4 7 0 8.062257748 60.2551187 0 0.7274422751 1.540904675 0.4885766015 2.966656678
2 25 5 7 0 8.602325267 54.46232221 0 0.718064763 1.522185873 0.4689515079 2.907510653
2 26 6 7 0 9.219544457 49.39870535 0 0.6425684027 1.361921945 0.4379854378 2.808954809
2 27 7 7 0 9.899494937 45 0 0.6512293374 1.381237599 0.4443904576 2.829899743
2 28 8 7 0 10.63014581 41.18592517 0 0.6233878797 1.318202011 0.3983351826 2.672054815
2 29 9 7 0 11.40175425 37.87498365 0 0.6250443989 1.322030578 0.3868908323 2.629998448
2 30 10 7 0 12.20655562 34.9920202 0 0.6306640345 1.334943567 0.3853720819 2.624323965
2 31 11 7 0 13.03840481 32.47119229 0 0.627741668 1.32824288 0.3757904906 2.588000465
2 32 12 7 0 13.89244399 30.25643716 0 0.6153302148 1.299432741 0.3639250543 2.541713282
2 33 13 7 0 14.76482306 28.30075577 0 0.5938434582 1.24815458 0.3486311429 2.479773355
2 34 14 7 0 15.65247584 26.56505118 0 0.5667891689 1.180884094 0.3302379866 2.401577985
2 35 15 7 0 16.55294536 25.01689348 0 0.5378912354 1.105386386 0.3107167605 2.31367197
2 36 16 7 0 17.4642492 23.62937773 0 0.5104544174 1.029854042 0.2923938322 2.225984784
2 37 17 7 0 18.38477631 22.38013505 0 0.4866989942 0.9611016983 0.2755168854 2.140212644
2 38 18 7 0 19.31320792 21.25050551 0 0.467663795 0.9035436494 0.2614555244 2.064637459
2 39 19 7 0 20.24845673 20.22485943 0 0.4536250941 0.8595723562 0.2504254993 2.002453376
2 40 20 7 0 21.1896201 19.29004622 0 0.4424909324 0.8237197968 0.2418794498 1.952360107
3 0 -20 8 0 21.54065923 158.1985905 0 0.5209839909 1.059310946 0.2774912989 2.15051444
3 1 -19 8 0 20.61552813 157.1663458 0 0.5331842064 1.092705952 0.2878552481 2.203415421
3 2 -18 8 0 19.6977156 156.037511 0 0.5464087273 1.128052432 0.2991110894 2.258753304
